Domain Name,Domain Type,Agency,City,Parish
ati.gov.jm,Federal Agency,Access to Information Unit,,
treasury.gov.jm,Federal Agency,Accountant General’s Department,,
agd.gov.jm,Federal Agency,Administrator General’s Department,,
assp.gov.jm,Federal Agency,Agricultural Support Services Project,,
agroinvest.gov.jm,Federal Agency,Agro Investment Corporation Jamaica,,
jadsc.gov.jm,Federal Agency,Anti-dumping and Subsidies Commission,,
agc.gov.jm,Federal Agency,Attorney General’s Chambers,,
auditorgeneral.gov.jm,Federal Agency,Auditor General’s Department,,
bglc.gov.jm,Federal Agency,"Betting, Gaming and Lotteries Commission",,
cabinet.gov.jm,Federal Agency,Cabinet Office of Jamaica,,
cgc.gov.jm,Federal Agency,Casino Gaming Commission,,
cda.gov.jm,Federal Agency,Child Development Agency,,
csjp.gov.jm,Federal Agency,Citizen Security & Justice Programme,,
clarendonmc.gov.jm,Federal Agency,Clarendon Municipal Corporation,,
csc.gov.jm,Federal Agency,Commision of Strata Corporations,,
cpcpd.gov.jm,Federal Agency,Commission for the Prevention of Corruption,,
consumeraffairsjamaica.gov.jm,Federal Agency,Consumer Affairs Commission,,
cms.gov.jm,Federal Agency,Court Management Services,,
courtofappeal.gov.jm,Federal Agency,Court of Appeal,,
dcfs.gov.jm,Federal Agency,Department of Co-operatives and Friendly Societies,,
dcs.gov.jm,Federal Agency,Department of Correctional Services,,
ecc.gov.jm,Federal Agency,Early Childhood Commission,,
esms.gov.jm,Federal Agency,Education Management Information System,,
fid.gov.jm,Federal Agency,Financial Investigations Division,,
fla.gov.jm,Federal Agency,Firearm Licensing Authority,,
fisheries.gov.jm,Federal Agency,Fisheries Division,,
fspid.gov.jm,Federal Agency,Food Storage & Prevention of Infestation Division,,
forestry.gov.jm,Federal Agency,Forestry Department,,
gov.jm,Federal Agency,Government of Jamaica,,
jamaica.gov.jm,Federal Agency,Government of Jamaica,,
gojep.gov.jm,Federal Agency,Government of Jamaica Electronic Procurement,,
hanovermc.gov.jm,Federal Agency,Hanover Municipal Corporation,,
hajl.gov.jm,Federal Agency,Housing Agency of Jamaica Limited,,
jamaica55.gov.jm,Federal Agency,Jamaica 55,,
jas.gov.jm,Federal Agency,Jamaica Agricultural Society,,
jadco.gov.jm,Federal Agency,Jamaica Anti-Doping Commission,,
jard.gov.jm,Federal Agency,Jamaica Archives & Records Department,,
jcaa.gov.jm,Federal Agency,Jamaica Civil Aviation Authority,,
jcf.gov.jm,Federal Agency,Jamaica Constabulary Force,,
jcdc.gov.jm,Federal Agency,Jamaica Cultural Development Commission,,
jacustoms.gov.jm,Federal Agency,Jamaica Customs Agency,,
jddb.gov.jm,Federal Agency,Jamaica Dairy Development Board,,
jftc.gov.jm,Federal Agency,Jamaica Fair Trading Commission,,
jfb.gov.jm,Federal Agency,Jamaica Fire Brigade,,
japarliament.gov.jm,Federal Agency,Jamaica Houses of Parliament,,
jis.gov.jm,Federal Agency,Jamaica Information Service,,
jipo.gov.jm,Federal Agency,Jamaica Intellectual Property Office,,
jls.gov.jm,Federal Agency,Jamaica Library Service,,
jmb.gov.jm,Federal Agency,Jamaica Mortgage Bank,,
janaac.gov.jm,Federal Agency,Jamaica National Agency for Accreditation,,
data.gov.jm,Federal Agency,Jamaica Open Data Portal,,
